index,0,runs,balls,empty,fours,sixes,strike_rate,out_type,outby
3182,Virat Kohli (c),87,66,66,4,4,131.81,catch_out,Joseph
3197,Virat Kohli (c),11,22,22,2,0,50,catch_out,Holder
3225,Virat Kohli (c),3,12,12,0,0,25,catch_out,Holder
3247,Virat Kohli (c),111,115,115,12,2,96.52,n,
3262,Virat Kohli (c),82,70,70,10,1,117.14,n,
3277,Virat Kohli (c),4,2,2,1,0,200, ,Dananjaya
3295,Virat Kohli (c),3,11,11,0,0,27.27,catch_out,Fernando
3301,Virat Kohli (c),131,96,96,17,2,136.45,catch_out,Malinga
3330,Virat Kohli (c),110,116,116,9,0,94.82,n,
3336,Virat Kohli (c),0,4,7,0,0,0,catch_out,Coulter-Nile
3356,Virat Kohli (c),92,107,148,8,0,85.98, ,Coulter-Nile
3386,Virat Kohli (c),28,35,58,2,0,80,catch_out,Agar
3400,Virat Kohli (c),21,21,23,3,0,100, ,Coulter-Nile
3420,Virat Kohli (c),39,55,73,2,0,70.9,catch_out,Zampa
3425,Virat Kohli (c),121,125,203,9,2,96.8,catch_out,Southee
3451,Virat Kohli (c),29,29,40,3,1,100,catch_out,Grandhomme
3457,Virat Kohli (c),113,106,166,9,1,106.6,catch_out,Southee
3483,Virat Kohli (c),112,119,164,10,0,94.11,catch_out,Phehlukwayo
3500,Virat Kohli (c),46,50,64,4,1,92,n,
3503,Virat Kohli (c),160,159,220,12,2,100.62,n,
3522,Virat Kohli (c),75,83,119,7,1,90.36,catch_out,Morris
3538,Virat Kohli (c),36,54,76,2,0,66.66,run_out,(Duminy)
3569,Virat Kohli (c),129,96,123,19,2,134.37,n,
3584,Virat Kohli (c),75,82,82,7,0,91.46,s,Rashid
3596,Virat Kohli (c),45,56,56,2,0,80.35,lbw,Ali
3607,Virat Kohli (c),71,72,98,8,0,98.61, ,Rashid
3630,Virat Kohli (c),140,107,107,21,2,130.84,s,Bishoo
3634,Virat Kohli (c),157,129,217,13,4,121.7,n,
3662,Virat Kohli (c),107,119,119,10,1,89.91, ,Samuels
3673,Virat Kohli (c),16,17,17,2,0,94.11,catch_out,Roah
3702,Virat Kohli (c),33,29,57,6,0,113.79,n,
3712,Virat Kohli (c),3,8,10,0,0,37.5,catch_out,Rihardson
3733,Virat Kohli (c),104,112,150,5,2,92.85,catch_out,Rihardson
3750,Virat Kohli (c),46,62,62,3,0,74.19,catch_out,Rihardson
3766,Virat Kohli (c),45,59,59,3,0,76.27,catch_out,Ferguson
3770,Virat Kohli (c),43,45,59,5,0,95.55,catch_out,Boult
3798,Virat Kohli (c),60,74,94,6,1,81.08,catch_out,Boult
3812,Virat Kohli (c),44,45,45,6,1,97.77,lbw,Zampa
3818,Virat Kohli (c),116,120,120,10,0,96.66,catch_out,Cummins
3847,Virat Kohli (c),123,95,95,16,1,129.47, ,Zampa
3859,Virat Kohli (c),7,6,6,1,0,116.66,catch_out,Rihardson
3887,Virat Kohli (c),20,22,22,2,0,90.9,catch_out,Stoinis
3908,Virat Kohli (c),18,34,44,1,0,52.94,catch_out,Phehlukwayo
